id,tour,gender,type,stage,title,start,end,city,state_country,tourUrl,signupUrl,mondayUrl,mondayDate
minor-league-golf-tour-2026-09-15-innisbrook-copperhead-palm-harbor,Minor League Golf Tour,Men,Event,,Innisbrook - Copperhead,2026-09-15,2026-09-15,Palm Harbor,"Palm Harbor, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5247,,
minor-league-golf-tour-2026-09-22-abacoa-golf-club-par-71-jupiter,Minor League Golf Tour,Men,Event,,Abacoa Golf Club - Par 71,2026-09-22,2026-09-22,Jupiter,"Jupiter, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5270,,
minor-league-golf-tour-2026-09-22-abacoa-golf-club-par-71-jupiter,Minor League Golf Tour,Men,Training Division,,Abacoa Golf Club - Par 71,2026-09-22,2026-09-22,Jupiter,"Jupiter, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5271,,
minor-league-golf-tour-2026-09-23-pga-national-fazio-palm-beach-gardens,Minor League Golf Tour,Men,Event,,PGA National - Fazio,2026-09-23,2026-09-23,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5294,,
minor-league-golf-tour-2026-09-23-pga-national-fazio-palm-beach-gardens,Minor League Golf Tour,Men,Training Division,,PGA National - Fazio,2026-09-23,2026-09-23,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5296,,
minor-league-golf-tour-2026-09-24-2nd-day-shootout-players-outside-the-money-eligible-palm-beach-gardens,Minor League Golf Tour,Men,Event,,2nd Day Shootout - Players outside the money eligible,2026-09-24,2026-09-24,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5295,,
minor-league-golf-tour-2026-09-24-pga-national-fazio-palm-beach-gardens,Minor League Golf Tour,Men,Training Division,,PGA National - Fazio,2026-09-24,2026-09-24,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5297,,
minor-league-golf-tour-2026-09-28-2026-match-play-championship-presented-by-britto-and-herman-injury-lawyers-2k-ad-palm-beach-gardens,Minor League Golf Tour,Men,Event,,2026 Match Play Championship presented by Britto & Herman Injury Lawyers - $2K ADDED MONEY!,2026-09-28,2026-09-28,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5298,,
minor-league-golf-tour-2026-10-01-pga-national-match-palm-beach-gardens,Minor League Golf Tour,Men,Event,,PGA National - Match,2026-10-01,2026-10-01,Palm Beach Gardens,"Palm Beach Gardens, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5299,,
minor-league-golf-tour-2026-10-05-indian-spring-east-course-par-71-boynton-beach,Minor League Golf Tour,Men,Event,,Indian Spring - East Course - Par 71,2026-10-05,2026-10-05,Boynton Beach,"Boynton Beach, FL, USA",https://www.minorleaguegolf.com/index_events.asp,https://www.minorleaguegolf.com/welcomereg2017.asp?event_ID=5322,,
