id,tour,gender,type,stage,title,start,end,city,state_country,signupUrl,
wfg-2026-01-12-manatee-county-open,West Florida Golf Tour,Men,Regular,Regular,Manatee County Open,2026-01-12,2026-01-14,Palmetto,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-01-20-heritage-harbour,West Florida Golf Tour,Men,Regular,Regular,Heritage Harbour Series,2026-01-20,2026-01-20,Bradenton,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-01-26-bayou-club,West Florida Golf Tour,Men,Regular,Regular,Bayou Club Series,2026-01-26,2026-01-26,Largo,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-02-02-individual-team-1,West Florida Golf Tour,Men,Regular,Regular,Individual/Team Championship 1,2026-02-02,2026-02-02,Orlando,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-02-11-tampa-palms,West Florida Golf Tour,Men,Regular,Regular,Tampa Palms Series,2026-02-11,2026-02-11,Tampa,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-02-16-winter-tbd-1,West Florida Golf Tour,Men,Regular,Regular,Winter Season (TBD),2026-02-16,2026-02-16,,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-03-03-valspar-preview,West Florida Golf Tour,Men,Regular,Regular,Valspar Preview Major,2026-03-03,2026-03-03,Brooksville,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-03-12-countryside,West Florida Golf Tour,Men,Regular,Regular,Countryside Series,2026-03-12,2026-03-12,Clearwater,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-03-16-winter-tbd-2,West Florida Golf Tour,Men,Regular,Regular,Winter Season (TBD),2026-03-16,2026-03-16,,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-03-23-individual-team-2,West Florida Golf Tour,Men,Regular,Regular,Individual/Team Championship 2,2026-03-23,2026-03-23,Valrico,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-03-30-ritz-carlton,West Florida Golf Tour,Men,Regular,Regular,Ritz Carlton Major,2026-03-30,2026-03-30,Sarasota,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-04-06-winter-tbd-3,West Florida Golf Tour,Men,Regular,Regular,Winter Season (TBD),2026-04-06,2026-04-06,,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-04-13-bradenton,West Florida Golf Tour,Men,Regular,Regular,Bradenton Series,2026-04-13,2026-04-13,Bradenton,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
wfg-2026-04-20-esplanade-azario,West Florida Golf Tour,Men,Regular,Regular,Esplanade at Azario Series,2026-04-20,2026-04-20,Lakewood Ranch,FL USA,https://www.westfloridagolftour.com/Schedule.aspx,
,,,,,,,,,,,
mlgt-2025-12-01-indian-spring-east-2day,Minor League Golf Tour,Men,Regular,Domestic,Indian Spring East December 2-Day,2025-12-01,2025-12-02,Boynton Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2025-12-09-holiday-team-championship,Minor League Golf Tour,Men,Team,Domestic,19th Annual Holiday Team Championship presented by Arise,2025-12-09,2025-12-09,Atlantis,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2025-12-11-par3-trilogy,Minor League Golf Tour,Men,Team,Domestic,17th Annual Par-3 Team Trilogy presented by Arise,2025-12-11,2025-12-11,Palm Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2025-12-16-tour-championship,Minor League Golf Tour,Men,Major,Domestic,2025 Tour Championship presented by Abacoa GC and BlueTide Insurance - $7K ADDED MONEY!,2025-12-16,2025-12-17,Jupiter,FL USA,https://minorleaguegolf.com/index_events.asp,
,,,,,,,,,,,
mlgt-2026-01-04-kft-panama-tuneup,Minor League Golf Tour,Men,Monday Q Tune Up,Domestic,KFT Panama Monday Q Tune Up at Indian Spring CC,2026-01-04,2026-01-04,Boynton Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-01-06-abacoa-classic,Minor League Golf Tour,Men,Regular,Domestic,Abacoa January Classic,2026-01-06,2026-01-06,Jupiter,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-01-14-sunshine-state-classic,Minor League Golf Tour,Men,Regular,Domestic,2026 Sunshine State Classic,2026-01-14,2026-01-15,Lake Worth,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-01-19-major-i,Minor League Golf Tour,Men,Major,Domestic,2026 Major I,2026-01-19,2026-01-20,Coral Springs,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-01-22-kft-argentina-tuneup,Minor League Golf Tour,Men,Monday Q Tune Up,Domestic,KFT Argentina Monday Q Tune Up at Indian Spring CC,2026-01-22,2026-01-22,Boynton Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-01-27-atlantic-national-2day,Minor League Golf Tour,Men,Regular,Domestic,Atlantic National January 2-Day,2026-01-27,2026-01-28,Lake Worth,FL USA,https://minorleaguegolf.com/index_events.asp,
,,,,,,,,,,,
mlgt-2026-02-02-clay-county-open,Minor League Golf Tour,Men,Regular,Domestic,2026 Clay County Open - $9K ADDED MONEY!,2026-02-02,2026-02-04,Orange Park,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-02-09-winter-team-championship,Minor League Golf Tour,Men,Team,Domestic,2026 Winter Team Championship,2026-02-09,2026-02-09,Jensen Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-02-11-sandridge-2day,Minor League Golf Tour,Men,Regular,Domestic,Sandridge 2-Day,2026-02-11,2026-02-12,Vero Beach,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-02-24-atlantic-national-winter-2day,Minor League Golf Tour,Men,Regular,Domestic,Atlantic National Winter 2-Day,2026-02-24,2026-02-25,Lake Worth,FL USA,https://minorleaguegolf.com/index_events.asp,
,,,,,,,,,,,
mlgt-2026-03-03-lake-county-open,Minor League Golf Tour,Men,Regular,Domestic,2026 Lake County Open,2026-03-03,2026-03-05,Howey-in-the-Hills,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-03-18-banyan-creek,Minor League Golf Tour,Men,Regular,Domestic,Banyan Creek GC 2-Day,2026-03-18,2026-03-19,Palm City,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-03-24-atlantic-national-2day-spring,Minor League Golf Tour,Men,Regular,Domestic,Atlantic National 2-Day,2026-03-24,2026-03-25,Lake Worth,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-03-30-indian-spring-2day,Minor League Golf Tour,Men,Regular,Domestic,Indian Spring East 2-Day,2026-03-30,2026-03-31,Boynton Beach,FL USA,https://minorleaguegolf.com/index_events.asp,https://minorleaguegolf.com/index_events.asp
,,,,,,,,,,,
mlgt-2026-04-07-palm-beach-county-open,Minor League Golf Tour,Men,Regular,Domestic,2026 Palm Beach County Open,2026-04-07,2026-04-09,Stuart,FL USA,https://minorleaguegolf.com/index_events.asp,
mlgt-2026-04-13-miami-lakes,Minor League Golf Tour,Men,Regular,Domestic,Miami Lakes 2-Day,2026-04-13,2026-04-14,M,FL USA,https://minorleaguegolf.com/index_events.asp,
